label,side
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
0,LEFT
1,RIGHT
